x,average,above,below
0,33.6734693877551,33.6734693877551,33.6734693877551
1,38.265306122448976,40.24131803377929,36.289294211118666
2,40.816326530612244,46.40533221944047,35.22732084178402
3,43.367346938775505,49.82097481667016,36.91371906088085
4,45.40816326530612,52.17678528643959,38.639541244172655
5,47.95918367346938,54.74700749778064,41.17135984915812
6,50.127551020408156,57.51120185632974,42.74390018448657
7,51.530612244897945,58.241299203043816,44.819925286752074
8,53.316326530612244,59.17257157308622,47.460081488138265
9,53.57142857142857,59.71509927489402,47.427757867963116
10,53.57142857142857,59.71509927489402,47.427757867963116
11,53.57142857142857,59.71509927489402,47.427757867963116
12,53.826530612244895,60.07001951557164,47.58304170891815
13,53.826530612244895,60.07001951557164,47.58304170891815
14,54.46428571428571,60.95687071052265,47.971700718048766
15,54.46428571428571,60.95687071052265,47.971700718048766
16,54.46428571428571,60.95687071052265,47.971700718048766
17,54.46428571428571,60.95687071052265,47.971700718048766
18,54.719387755102034,61.350814250793846,48.08796125941022
19,54.719387755102034,61.350814250793846,48.08796125941022
20,54.97448979591836,61.80889200235653,48.14008758948019
21,54.97448979591836,61.80889200235653,48.14008758948019
22,55.229591836734684,62.02579939018224,48.433384283287126
23,55.48469387755101,62.3095674600366,48.65982029506542
24,55.48469387755101,62.3095674600366,48.65982029506542
25,55.73979591836735,62.73419891370163,48.745392923033066
