x,average,above,below
0,33.6734693877551,33.6734693877551,33.6734693877551
1,35.714285714285715,35.714285714285715,35.714285714285715
2,41.83673469387755,41.83673469387755,41.83673469387755
3,41.83673469387755,41.83673469387755,41.83673469387755
4,41.83673469387755,41.83673469387755,41.83673469387755
5,41.83673469387755,41.83673469387755,41.83673469387755
6,41.83673469387755,41.83673469387755,41.83673469387755
7,41.83673469387755,41.83673469387755,41.83673469387755
8,41.83673469387755,41.83673469387755,41.83673469387755
9,41.83673469387755,41.83673469387755,41.83673469387755
10,41.83673469387755,41.83673469387755,41.83673469387755
11,41.83673469387755,41.83673469387755,41.83673469387755
12,41.83673469387755,41.83673469387755,41.83673469387755
13,41.83673469387755,41.83673469387755,41.83673469387755
14,41.83673469387755,41.83673469387755,41.83673469387755
15,41.83673469387755,41.83673469387755,41.83673469387755
16,41.83673469387755,41.83673469387755,41.83673469387755
17,41.83673469387755,41.83673469387755,41.83673469387755
18,41.83673469387755,41.83673469387755,41.83673469387755
19,41.83673469387755,41.83673469387755,41.83673469387755
20,41.83673469387755,41.83673469387755,41.83673469387755
21,41.83673469387755,41.83673469387755,41.83673469387755
22,41.83673469387755,41.83673469387755,41.83673469387755
23,41.83673469387755,41.83673469387755,41.83673469387755
24,41.83673469387755,41.83673469387755,41.83673469387755
25,41.83673469387755,41.83673469387755,41.83673469387755
