2024-02-26 12:43:56.617761:Configuration: {
  "url": "http://localhost:3000/",
  "delay": 0.5,
  "interactions": 100,
  "load_wait_time": 10,
  "test_type": "monkey",
  "output_dir": "results"
}
2024-02-26 12:43:56.617771:Starting the test on URL: http://localhost:3000/
2024-02-26 12:44:02.732907:Web page loaded successfully.
2024-02-26 12:44:03.928738:Pre test coverage data: namespace(covered=33, blocks=98, percentage=0.336734693877551)
2024-02-26 12:44:03.928752:Opened website. | Coverage: 33.6734693877551%
2024-02-26 12:44:05.926189:Action 1: Monkey tester executiong: 'action: click element: <div id=":r2:" class="Navbar-cart-btn on-click"><span class="Navbar-icon"><i class="fas fa-cart-plus"></i></span><div class="cart-items">0</div></div>' | Coverage: 37.755102040816325%
2024-02-26 12:44:08.713284:Action 2: Monkey tester executiong: 'action: click element: <a id=":r8:" href="#/checkout" style="text-decoration: none;"><div id=":r7:" class="banner-btn clear-cart on-click">Checkout</div></a>' | Coverage: 47.95918367346938%
2024-02-26 12:44:11.457051:Action 3: Monkey tester executiong: 'action: send_keys(BGNN) element: <input type="text" id=":rk:" class="" value="">' | Coverage: 58.16326530612245%
2024-02-26 12:44:13.966400:Action 4: Monkey tester executiong: 'action: send_keys(cBL) element: <input type="text" id=":rj:" class="" value="">' | Coverage: 58.16326530612245%
2024-02-26 12:44:16.535218:Action 5: Monkey tester executiong: 'action: clear element: <input type="text" id=":rk:" class="error" value="BGNN">' | Coverage: 58.16326530612245%
2024-02-26 12:44:20.129001:Action 6: Monkey tester executiong: 'action: send_keys(uZF) element: <input type="text" id=":ri:" class="" value="">' | Coverage: 58.16326530612245%
2024-02-26 12:44:23.054253:Action 7: Monkey tester executiong: 'action: send_keys(aqc) element: <input type="text" id=":rk:" class="error" value="BGNN">' | Coverage: 59.183673469387756%
2024-02-26 12:44:26.460707:Action 8: Monkey tester executiong: 'action: send_keys(YA9CDBSz) element: <input type="text" id=":rg:" class="" value="">' | Coverage: 59.183673469387756%
2024-02-26 12:44:29.400683:Action 9: Monkey tester executiong: 'action: click element: <span id=":r1:" class="Navbar-icon on-click"><i class="fas fa-bars"></i></span>' | Coverage: 61.224489795918366%
2024-02-26 12:44:32.028915:Action 10: Monkey tester executiong: 'action: send_keys( IB8lkD57) element: <input type="text" id=":rh:" class="" value="">' | Coverage: 64.28571428571429%
2024-02-26 12:44:34.760551:Action 11: Monkey tester executiong: 'action: click element: <a id=":r0:-m_series" class="" href="#/c/m_series">M Series</a>' | Coverage: 64.28571428571429%
2024-02-26 12:44:37.366660:Action 12: Monkey tester executiong: 'action: click element: <button id="7:rl:" class="bag-btn"><i class="fas fa-shopping-cart"></i>add to cart</button>' | Coverage: 68.36734693877551%
2024-02-26 12:44:41.159297:Action 13: Monkey tester executiong: 'action: click element: <div id=":ra:" class="on-click cart-overlay transparentBcg"><div id=":rb:" class="on-click cart showCart"><span id=":r9:" class="close-cart on-click"><i class="fas fa-window-close"></i></span><h2>Your cart</h2><div class="cart-content"><div class="cart-item"><img src="./images/product-7.jpeg" alt="Galaxy M20"><div><h4>Galaxy M20</h4><h5>$545.99</h5><span id=":rn:" class="remove-item on-click">remove</span></div><div><i id=":ro:" class="fas fa-chevron-up on-click"></i><p class="item-amount">1</p><i id=":rp:" class="fas fa-chevron-down on-click"></i></div></div></div><div class="cart-footer"><h3>your total: <span class="cart-total">$545.99</span></h3><button id=":r6:" class="clear-cart banner-btn">clear cart</button><a id=":r8:" href="#/checkout" style="text-decoration: none;"><div id=":r7:" class="banner-btn clear-cart on-click">Checkout</div></a></div></div></div>' | Coverage: 68.36734693877551%
2024-02-26 12:44:43.771427:Action 14: Monkey tester executiong: 'action: click element: <button id="8:rl:" class="bag-btn"><i class="fas fa-shopping-cart"></i>add to cart</button>' | Coverage: 68.36734693877551%
2024-02-26 12:44:47.128077:Action 15: Monkey tester executiong: 'action: click element: <button id=":r6:" class="clear-cart banner-btn">clear cart</button>' | Coverage: 68.36734693877551%
2024-02-26 12:44:49.694951:Action 16: Monkey tester executiong: 'action: click element: <a id=":r0:-s10" class="" href="#/c/s10">S10</a>' | Coverage: 68.36734693877551%
2024-02-26 12:44:52.402525:Action 17: Monkey tester executiong: 'action: click element: <a id=":r0:-home" class="" href="#/">Home</a>' | Coverage: 68.36734693877551%
2024-02-26 12:44:55.170821:Action 18: Monkey tester executiong: 'action: click element: <button id="2:ru:" class="bag-btn"><i class="fas fa-shopping-cart"></i>add to cart</button>' | Coverage: 68.36734693877551%
2024-02-26 12:44:58.186635:Action 19: Monkey tester executiong: 'action: click element: <a id=":r8:" href="#/checkout" style="text-decoration: none;"><div id=":r7:" class="banner-btn clear-cart on-click">Checkout</div></a>' | Coverage: 68.36734693877551%
2024-02-26 12:45:01.807147:Action 20: Monkey tester executiong: 'action: click element: <button id=":r13:" type="submit">Submit</button>' | Coverage: 71.42857142857143%
