2024-02-26 13:11:01.473426:Configuration: {
  "url": "http://localhost:3000/",
  "delay": 0.5,
  "interactions": 100,
  "load_wait_time": 10,
  "test_type": "monkey",
  "output_dir": "results"
}
2024-02-26 13:11:01.473441:Starting the test on URL: http://localhost:3000/
2024-02-26 13:11:07.658654:Web page loaded successfully.
2024-02-26 13:11:09.121662:Pre test coverage data: namespace(covered=33, blocks=98, percentage=0.336734693877551)
2024-02-26 13:11:09.121680:Opened website. | Coverage: 33.6734693877551%
2024-02-26 13:11:11.541150:Action 1: Monkey tester executiong: 'action: click element: <button id="2:r4:" class="bag-btn"><i class="fas fa-shopping-cart"></i>add to cart</button>' | Coverage: 39.795918367346935%
2024-02-26 13:11:15.038841:Action 2: Monkey tester executiong: 'action: click element: <a id=":r8:" href="#/checkout" style="text-decoration: none;"><div id=":r7:" class="banner-btn clear-cart on-click">Checkout</div></a>' | Coverage: 50.0%
2024-02-26 13:11:18.196850:Action 3: Monkey tester executiong: 'action: send_keys(MZLPR) element: <input type="text" id=":rk:" class="" value="">' | Coverage: 54.08163265306123%
2024-02-26 13:11:21.197224:Action 4: Monkey tester executiong: 'action: send_keys(lDM2T) element: <input type="text" id=":rm:" class="" value="">' | Coverage: 54.08163265306123%
2024-02-26 13:11:25.371844:Action 5: Monkey tester executiong: 'action: click element: <span id=":r1:" class="Navbar-icon on-click"><i class="fas fa-bars"></i></span>' | Coverage: 56.12244897959183%
2024-02-26 13:11:28.879594:Action 6: Monkey tester executiong: 'action: send_keys(sAf) element: <input type="text" id=":rl:" class="" value="">' | Coverage: 62.244897959183675%
2024-02-26 13:11:32.180716:Action 7: Monkey tester executiong: 'action: click element: <span id=":rg:" class="remove-item on-click">remove</span>' | Coverage: 64.28571428571429%
2024-02-26 13:11:35.542903:Action 8: Monkey tester executiong: 'action: click element: <a id=":r0:-home" class="" href="#/">Home</a>' | Coverage: 64.28571428571429%
2024-02-26 13:11:38.856619:Action 9: Monkey tester executiong: 'action: click element: <button id="2:rs:" class="bag-btn"><i class="fas fa-shopping-cart"></i>add to cart</button>' | Coverage: 64.28571428571429%
2024-02-26 13:11:42.213623:Action 10: Monkey tester executiong: 'action: click element: <span id=":r9:" class="close-cart on-click"><i class="fas fa-window-close"></i></span>' | Coverage: 64.28571428571429%
2024-02-26 13:11:45.299232:Action 11: Monkey tester executiong: 'action: click element: <a id=":r0:-home" class="active" href="#/" aria-current="page">Home</a>' | Coverage: 64.28571428571429%
2024-02-26 13:11:48.664938:Action 12: Monkey tester executiong: 'action: click element: <a id=":r0:-a_series" class="" href="#/c/a_series">A Series</a>' | Coverage: 64.28571428571429%
2024-02-26 13:11:51.977019:Action 13: Monkey tester executiong: 'action: click element: <button id="11:r11:" class="bag-btn"><i class="fas fa-shopping-cart"></i>add to cart</button>' | Coverage: 64.28571428571429%
2024-02-26 13:11:55.864948:Action 14: Monkey tester executiong: 'action: click element: <div id=":r7:" class="banner-btn clear-cart on-click">Checkout</div>' | Coverage: 64.28571428571429%
2024-02-26 13:11:59.634206:Action 15: Monkey tester executiong: 'action: click element: <a id=":r0:-m_series" class="" href="#/c/m_series">M Series</a>' | Coverage: 64.28571428571429%
2024-02-26 13:12:02.806060:Action 16: Monkey tester executiong: 'action: click element: <div id=":r2:" class="Navbar-cart-btn on-click"><span class="Navbar-icon"><i class="fas fa-cart-plus"></i></span><div class="cart-items">2</div></div>' | Coverage: 66.3265306122449%
2024-02-26 13:12:06.985110:Action 17: Monkey tester executiong: 'action: click element: <span id=":r9:" class="close-cart on-click"><i class="fas fa-window-close"></i></span>' | Coverage: 66.3265306122449%
2024-02-26 13:12:10.673027:Action 18: Monkey tester executiong: 'action: click element: <span id=":r1:" class="Navbar-icon on-click"><i class="fas fa-bars"></i></span>' | Coverage: 66.3265306122449%
2024-02-26 13:12:13.308504:Action 19: Monkey tester executiong: 'action: click element: <div id=":r2:" class="Navbar-cart-btn on-click"><span class="Navbar-icon"><i class="fas fa-cart-plus"></i></span><div class="cart-items">2</div></div>' | Coverage: 66.3265306122449%
2024-02-26 13:12:16.720605:Action 20: Monkey tester executiong: 'action: click element: <i id=":r10:" class="fas fa-chevron-down on-click"></i>' | Coverage: 72.44897959183673%
2024-02-26 13:12:20.130332:Action 21: Monkey tester executiong: 'action: click element: <span id=":r9:" class="close-cart on-click"><i class="fas fa-window-close"></i></span>' | Coverage: 72.44897959183673%
2024-02-26 13:12:23.284600:Action 22: Monkey tester executiong: 'action: hover element: <img id="6:r1m:" src="./images/product-6.jpeg" alt="Galaxy M30" class="product-img mouse-over">' | Coverage: 72.44897959183673%
2024-02-26 13:12:26.231113:Action 23: Monkey tester executiong: 'action: click element: <button id="7:r1l:" class="bag-btn"><i class="fas fa-shopping-cart"></i>add to cart</button>' | Coverage: 72.44897959183673%
2024-02-26 13:12:29.689362:Action 24: Monkey tester executiong: 'action: click element: <button id=":r6:" class="clear-cart banner-btn">clear cart</button>' | Coverage: 72.44897959183673%
2024-02-26 13:12:32.988295:Action 25: Monkey tester executiong: 'action: click element: <button id="8:r1l:" class="bag-btn"><i class="fas fa-shopping-cart"></i>add to cart</button>' | Coverage: 72.44897959183673%
