2024-02-26 13:35:18.036218:Configuration: {
  "url": "http://localhost:3000/",
  "delay": 0.5,
  "interactions": 100,
  "load_wait_time": 10,
  "test_type": "monkey",
  "output_dir": "results"
}
2024-02-26 13:35:18.036235:Starting the test on URL: http://localhost:3000/
2024-02-26 13:35:24.074074:Web page loaded successfully.
2024-02-26 13:35:25.481008:Pre test coverage data: namespace(covered=33, blocks=98, percentage=0.336734693877551)
2024-02-26 13:35:25.481024:Opened website. | Coverage: 33.6734693877551%
2024-02-26 13:35:27.846916:Action 1: Monkey tester executiong: 'action: click element: <button id="3:r4:" class="bag-btn"><i class="fas fa-shopping-cart"></i>add to cart</button>' | Coverage: 39.795918367346935%
2024-02-26 13:35:31.250831:Action 2: Monkey tester executiong: 'action: click element: <div id=":r7:" class="banner-btn clear-cart on-click">Checkout</div>' | Coverage: 50.0%
2024-02-26 13:35:34.610104:Action 3: Monkey tester executiong: 'action: click element: <i id=":rh:" class="fas fa-chevron-up on-click"></i>' | Coverage: 53.06122448979592%
2024-02-26 13:35:37.721483:Action 4: Monkey tester executiong: 'action: send_keys(COjwbXtbZ) element: <input type="text" id=":rp:" class="" value="">' | Coverage: 57.14285714285714%
2024-02-26 13:35:40.943541:Action 5: Monkey tester executiong: 'action: send_keys(VL8) element: <input type="text" id=":rj:" class="" value="">' | Coverage: 57.14285714285714%
2024-02-26 13:35:44.389130:Action 6: Monkey tester executiong: 'action: send_keys(amK) element: <input type="text" id=":rp:" class="" value="COjwbXtbZ">' | Coverage: 57.14285714285714%
2024-02-26 13:35:47.498005:Action 7: Monkey tester executiong: 'action: click element: <span id=":rg:" class="remove-item on-click">remove</span>' | Coverage: 59.183673469387756%
2024-02-26 13:35:50.796554:Action 8: Monkey tester executiong: 'action: send_keys(AQT) element: <input type="text" id=":ro:" class="" value="">' | Coverage: 59.183673469387756%
2024-02-26 13:35:54.747131:Action 9: Monkey tester executiong: 'action: send_keys(1 fKU) element: <input type="text" id=":rk:" class="" value="">' | Coverage: 59.183673469387756%
2024-02-26 13:35:57.757929:Action 10: Monkey tester executiong: 'action: clear element: <input type="text" id=":rp:" class="" value="COjwbXtbZamK">' | Coverage: 59.183673469387756%
