x,average,above,below,min,max,stv
0,33.6734693877551,33.6734693877551,33.6734693877551,33.6734693877551,33.6734693877551,0.0
1,39.795918367346935,39.795918367346935,39.795918367346935,39.795918367346935,39.795918367346935,0.0
2,43.06122448979592,46.7909524249994,39.331496554592434,39.795918367346935,50.0,3.729727935203484
3,44.897959183673464,50.48696487250169,39.30895349484524,39.795918367346935,55.10204081632652,5.589005688828224
4,50.40816326530612,57.0713582519651,43.74496827864714,41.83673469387755,60.204081632653065,6.663194986658982
5,53.265306122448976,61.36197323464383,45.168639010254125,41.83673469387755,64.28571428571429,8.096667112194847
6,53.469387755102034,61.84916945618277,45.089606054021296,41.83673469387755,65.3061224489796,8.379781701080738
7,56.326530612244895,66.35356611962305,46.299495104866736,41.83673469387755,66.3265306122449,10.02703550737816
8,59.38775510204082,65.62477828160658,53.15073192247506,52.04081632653062,66.3265306122449,6.237023179565762
9,61.83673469387755,68.56214573603432,55.11132365172078,52.04081632653062,70.40816326530613,6.725411042156769
10,61.83673469387755,68.56214573603432,55.11132365172078,52.04081632653062,70.40816326530613,6.725411042156769
11,64.08163265306123,70.6440551799239,57.51921012619857,52.04081632653062,70.40816326530613,6.5624225268626635
12,64.89795918367346,71.98520626701442,57.81071210033251,52.04081632653062,72.44897959183673,7.0872470833409515
13,67.75510204081631,71.08357274087756,64.42663134075507,62.244897959183675,72.44897959183673,3.328470700061242
14,68.97959183673468,71.44551958644786,66.51366408702151,66.3265306122449,72.44897959183673,2.46592774971318
15,69.79591836734693,73.3658889152114,66.22594781948246,66.3265306122449,75.51020408163265,3.569970547864471
16,72.44897959183673,76.09970282040783,68.79825636326564,67.3469387755102,77.55102040816327,3.6507232285710893
17,73.26530612244899,76.03360407474501,70.49700817015297,69.38775510204081,77.55102040816327,2.768297952296029
18,75.3061224489796,77.17656150814524,73.43568338981395,73.46938775510205,77.55102040816327,1.8704390591656472
19,76.12244897959184,78.32047543148347,73.9244225277002,73.46938775510205,79.59183673469387,2.1980264518916304
20,76.12244897959184,78.32047543148347,73.9244225277002,73.46938775510205,79.59183673469387,2.1980264518916304
21,76.53061224489795,79.1120633960558,73.9491610937401,73.46938775510205,79.59183673469387,2.581451151157856
22,77.14285714285714,79.77226504627042,74.51344923944386,73.46938775510205,79.59183673469387,2.629407903413286
23,77.14285714285714,79.77226504627042,74.51344923944386,73.46938775510205,79.59183673469387,2.629407903413286
24,77.55102040816327,79.69144662891867,75.41059418740787,74.48979591836735,79.59183673469387,2.1404262207554083
25,77.55102040816327,79.69144662891867,75.41059418740787,74.48979591836735,79.59183673469387,2.1404262207554083
26,78.36734693877551,81.61987294908351,75.11482092846751,74.48979591836735,83.6734693877551,3.252526010308006
27,78.36734693877551,81.61987294908351,75.11482092846751,74.48979591836735,83.6734693877551,3.252526010308006
28,78.36734693877551,81.61987294908351,75.11482092846751,74.48979591836735,83.6734693877551,3.252526010308006
29,78.97959183673468,81.90871430498107,76.0504693684883,74.48979591836735,83.6734693877551,2.9291224682463928
30,80.0,83.45133357658933,76.54866642341067,74.48979591836735,83.6734693877551,3.4513335765893403
31,80.81632653061224,83.17874222505924,78.45391083616525,78.57142857142857,83.6734693877551,2.362415694446988
32,80.81632653061224,83.17874222505924,78.45391083616525,78.57142857142857,83.6734693877551,2.362415694446988
33,80.81632653061224,83.17874222505924,78.45391083616525,78.57142857142857,83.6734693877551,2.362415694446988
34,81.22448979591837,83.32563880428307,79.12334078755367,78.57142857142857,83.6734693877551,2.1011490083646964
35,81.22448979591837,83.32563880428307,79.12334078755367,78.57142857142857,83.6734693877551,2.1011490083646964
36,81.22448979591837,83.32563880428307,79.12334078755367,78.57142857142857,83.6734693877551,2.1011490083646964
37,81.22448979591837,83.32563880428307,79.12334078755367,78.57142857142857,83.6734693877551,2.1011490083646964
38,81.22448979591837,83.32563880428307,79.12334078755367,78.57142857142857,83.6734693877551,2.1011490083646964
39,82.04081632653062,85.36928702659186,78.71234562646937,78.57142857142857,87.75510204081633,3.3284707000612443
40,82.65306122448979,85.74811242614348,79.5580100228361,78.57142857142857,87.75510204081633,3.095051201653694
41,83.67346938775509,87.3807963519561,79.96614242355407,78.57142857142857,87.75510204081633,3.7073269642010094
42,83.67346938775509,87.3807963519561,79.96614242355407,78.57142857142857,87.75510204081633,3.7073269642010094
43,83.67346938775509,87.3807963519561,79.96614242355407,78.57142857142857,87.75510204081633,3.7073269642010094
44,83.67346938775509,87.3807963519561,79.96614242355407,78.57142857142857,87.75510204081633,3.7073269642010094
45,83.67346938775509,87.3807963519561,79.96614242355407,78.57142857142857,87.75510204081633,3.7073269642010094
46,83.67346938775509,87.3807963519561,79.96614242355407,78.57142857142857,87.75510204081633,3.7073269642010094
47,83.67346938775509,87.3807963519561,79.96614242355407,78.57142857142857,87.75510204081633,3.7073269642010094
48,83.67346938775509,87.3807963519561,79.96614242355407,78.57142857142857,87.75510204081633,3.7073269642010094
49,84.08163265306122,88.29383008990823,79.86943521621421,78.57142857142857,89.79591836734694,4.212197436847
50,84.08163265306122,88.29383008990823,79.86943521621421,78.57142857142857,89.79591836734694,4.212197436847
51,84.08163265306122,88.29383008990823,79.86943521621421,78.57142857142857,89.79591836734694,4.212197436847
52,84.08163265306122,88.29383008990823,79.86943521621421,78.57142857142857,89.79591836734694,4.212197436847
53,84.08163265306122,88.29383008990823,79.86943521621421,78.57142857142857,89.79591836734694,4.212197436847
54,85.10204081632654,88.36734693877551,81.83673469387756,80.61224489795919,89.79591836734694,3.2653061224489788
