x,average,above,below,min,max,stv
0,33.6734693877551,33.6734693877551,33.6734693877551,33.6734693877551,33.6734693877551,0.0
1,38.77551020408163,40.54290898731517,37.00811142084808,35.714285714285715,39.795918367346935,1.7673987832335463
2,42.857142857142854,47.06439349552822,38.649892218757486,39.795918367346935,50.0,4.207250638385369
3,45.66326530612245,51.176067036983234,40.15046357526166,41.83673469387755,55.10204081632652,5.512801730860789
4,45.66326530612245,51.176067036983234,40.15046357526166,41.83673469387755,55.10204081632652,5.512801730860789
5,45.66326530612245,51.176067036983234,40.15046357526166,41.83673469387755,55.10204081632652,5.512801730860789
6,46.173469387755105,52.561216339565775,39.785722435944436,41.83673469387755,57.14285714285714,6.387746951810668
7,48.724489795918366,54.905123183462095,42.54385640837464,41.83673469387755,57.14285714285714,6.1806333875437325
8,49.744897959183675,56.679733275034785,42.810062643332564,41.83673469387755,57.14285714285714,6.934835315851113
9,49.744897959183675,56.679733275034785,42.810062643332564,41.83673469387755,57.14285714285714,6.934835315851113
10,51.53061224489796,60.49918154655457,42.56204294324135,41.83673469387755,63.26530612244898,8.968569301656606
11,51.53061224489796,60.49918154655457,42.56204294324135,41.83673469387755,63.26530612244898,8.968569301656606
12,52.55102040816326,62.919592567806916,42.182448248519606,41.83673469387755,67.3469387755102,10.368572159643657
13,52.55102040816326,62.919592567806916,42.182448248519606,41.83673469387755,67.3469387755102,10.368572159643657
14,52.55102040816326,62.919592567806916,42.182448248519606,41.83673469387755,67.3469387755102,10.368572159643657
15,55.10204081632653,64.20028290822806,46.003798724424996,41.83673469387755,67.3469387755102,9.09824209190153
16,56.37755102040816,65.60011606251287,47.15498597830346,41.83673469387755,67.3469387755102,9.222565042104701
17,58.92857142857143,64.44137315943222,53.415769697710644,52.04081632653062,67.3469387755102,5.512801730860789
18,58.92857142857143,64.44137315943222,53.415769697710644,52.04081632653062,67.3469387755102,5.512801730860789
19,59.69387755102041,65.39813259566273,53.98962250637809,52.04081632653062,67.3469387755102,5.704255044642316
20,60.20408163265306,65.25484435541411,55.15331890989201,54.08163265306123,67.3469387755102,5.050762722761051
21,60.20408163265306,65.25484435541411,55.15331890989201,54.08163265306123,67.3469387755102,5.050762722761051
22,60.20408163265306,65.25484435541411,55.15331890989201,54.08163265306123,67.3469387755102,5.050762722761051
23,60.20408163265306,65.25484435541411,55.15331890989201,54.08163265306123,67.3469387755102,5.050762722761051
24,60.20408163265306,65.25484435541411,55.15331890989201,54.08163265306123,67.3469387755102,5.050762722761051
25,60.20408163265306,65.25484435541411,55.15331890989201,54.08163265306123,67.3469387755102,5.050762722761051
