x,average,above,below
0,33.6734693877551,33.6734693877551,33.6734693877551
1,35.714285714285715,35.714285714285715,35.714285714285715
2,38.43537414965986,40.35947423452121,36.511274064798506
3,40.476190476190474,41.43824051862116,39.51414043375979
4,40.476190476190474,41.43824051862116,39.51414043375979
5,43.19727891156463,44.159328953995306,42.235228869133955
6,45.23809523809524,48.70681599564135,41.76937448054913
7,48.63945578231293,56.85921494802352,40.41969661660234
8,52.04081632653061,59.676851809742736,44.404780843318484
9,52.04081632653061,59.676851809742736,44.404780843318484
10,52.04081632653061,59.676851809742736,44.404780843318484
11,52.721088435374156,59.4554387323889,45.986738138359414
12,56.12244897959184,59.00859910688387,53.236298852299804
13,56.12244897959184,59.00859910688387,53.236298852299804
14,56.12244897959184,59.00859910688387,53.236298852299804
15,57.142857142857146,59.64233647222774,54.64337781348655
16,58.84353741496599,62.3122581725121,55.374816657419885
17,59.523809523809526,63.372009693532235,55.675609354086816
18,61.22448979591837,62.667564859564386,59.78141473227236
19,61.22448979591837,62.667564859564386,59.78141473227236
20,62.92517006802721,63.88722011045789,61.963120025596524
21,62.92517006802721,63.88722011045789,61.963120025596524
22,64.62585034013605,67.99302548864343,61.25867519162869
23,64.62585034013605,67.99302548864343,61.25867519162869
24,65.98639455782313,71.27766979119185,60.69511932445441
25,65.98639455782313,71.27766979119185,60.69511932445441
26,67.68707482993197,72.27576107592927,63.09838858393468
27,68.3673469387755,73.83074095381258,62.90395292373842
28,68.3673469387755,73.83074095381258,62.90395292373842
29,69.04761904761905,73.78516608067487,64.31007201456323
30,69.04761904761905,73.78516608067487,64.31007201456323
31,69.72789115646259,75.39909251718812,64.05668979573706
32,70.74829931972789,77.83424035918355,63.66235828027222
33,70.74829931972789,77.83424035918355,63.66235828027222
34,71.76870748299321,78.50305778000795,65.03435718597846
35,71.76870748299321,78.50305778000795,65.03435718597846
36,71.76870748299321,78.50305778000795,65.03435718597846
37,71.76870748299321,78.50305778000795,65.03435718597846
38,71.76870748299321,78.50305778000795,65.03435718597846
39,71.76870748299321,78.50305778000795,65.03435718597846
40,71.76870748299321,78.50305778000795,65.03435718597846
41,71.76870748299321,78.50305778000795,65.03435718597846
42,71.76870748299321,78.50305778000795,65.03435718597846
43,71.76870748299321,78.50305778000795,65.03435718597846
44,71.76870748299321,78.50305778000795,65.03435718597846
45,71.76870748299321,78.50305778000795,65.03435718597846
46,71.76870748299321,78.50305778000795,65.03435718597846
47,71.76870748299321,78.50305778000795,65.03435718597846
48,71.76870748299321,78.50305778000795,65.03435718597846
49,71.76870748299321,78.50305778000795,65.03435718597846
50,71.76870748299321,78.50305778000795,65.03435718597846
51,71.76870748299321,78.50305778000795,65.03435718597846
52,71.76870748299321,78.50305778000795,65.03435718597846
53,71.76870748299321,78.50305778000795,65.03435718597846
54,71.76870748299321,78.50305778000795,65.03435718597846
55,71.76870748299321,78.50305778000795,65.03435718597846
56,71.76870748299321,78.50305778000795,65.03435718597846
57,71.76870748299321,78.50305778000795,65.03435718597846
58,71.76870748299321,78.50305778000795,65.03435718597846
59,71.76870748299321,78.50305778000795,65.03435718597846
60,71.76870748299321,78.50305778000795,65.03435718597846
61,71.76870748299321,78.50305778000795,65.03435718597846
62,71.76870748299321,78.50305778000795,65.03435718597846
63,71.76870748299321,78.50305778000795,65.03435718597846
64,71.76870748299321,78.50305778000795,65.03435718597846
65,71.76870748299321,78.50305778000795,65.03435718597846
66,71.76870748299321,78.50305778000795,65.03435718597846
67,71.76870748299321,78.50305778000795,65.03435718597846
68,71.76870748299321,78.50305778000795,65.03435718597846
69,71.76870748299321,78.50305778000795,65.03435718597846
70,72.10884353741497,78.47220644009174,65.7454806347382
71,72.10884353741497,78.47220644009174,65.7454806347382
72,72.10884353741497,78.47220644009174,65.7454806347382
73,72.10884353741497,78.47220644009174,65.7454806347382
74,72.10884353741497,78.47220644009174,65.7454806347382
75,72.10884353741497,78.47220644009174,65.7454806347382
76,72.10884353741497,78.47220644009174,65.7454806347382
77,72.10884353741497,78.47220644009174,65.7454806347382
78,72.10884353741497,78.47220644009174,65.7454806347382
79,72.10884353741497,78.47220644009174,65.7454806347382
80,72.10884353741497,78.47220644009174,65.7454806347382
81,72.10884353741497,78.47220644009174,65.7454806347382
82,72.10884353741497,78.47220644009174,65.7454806347382
83,72.10884353741497,78.47220644009174,65.7454806347382
84,72.10884353741497,78.47220644009174,65.7454806347382
85,72.10884353741497,78.47220644009174,65.7454806347382
86,72.10884353741497,78.47220644009174,65.7454806347382
87,72.10884353741497,78.47220644009174,65.7454806347382
88,72.10884353741497,78.47220644009174,65.7454806347382
89,72.10884353741497,78.47220644009174,65.7454806347382
90,72.10884353741497,78.47220644009174,65.7454806347382
91,72.10884353741497,78.47220644009174,65.7454806347382
92,72.10884353741497,78.47220644009174,65.7454806347382
93,72.10884353741497,78.47220644009174,65.7454806347382
94,73.80952380952381,82.48132570338909,65.13772191565853
95,73.80952380952381,82.48132570338909,65.13772191565853
96,73.80952380952381,82.48132570338909,65.13772191565853
97,74.14965986394559,83.28913526703701,65.01018446085416
98,74.14965986394559,83.28913526703701,65.01018446085416
99,74.14965986394559,83.28913526703701,65.01018446085416
100,74.14965986394559,83.28913526703701,65.01018446085416
